|Class| Frequency| dorico_event_id| clef_type| clef_hotspot| lef_required_stave_lines| clef_stave_position| staff_id| dorico_event_ids| grace_note| duration_beats| onset_beats| pitch_octave| midi_pitch_code| normalized_pitch_step| time_signature_description| | | text|
|systemicBarline| 2078| | | | | | | | | | | | | | | | | |
|tie| 8626| x| | | | | x| | | | | | | | | | | |
|timeSig1| 2| x| | | | | x| | | | | | | | x| | | |
|timeSig2| 1084| x| | | | | x| | | | | | | | x| | | |
|timeSig3| 1203| x| | | | | x| | | | | | | | x| | | |
|timeSig4| 2674| x| | | | | x| | | | | | | | x| | | |
|timeSig5| 507| x| | | | | x| | | | | | | | x| | | |
|timeSig6| 246| x| | | | | x| | | | | | | | x| | | |
|timeSig7| 125| x| | | | | x| | | | | | | | x| | | |
|timeSig8| 1661| x| | | | | x| | | | | | | | x| | | |
|timeSig9| 79| x| | | | | x| | | | | | | | x| | | |
|timeSigCommon| 206| x| | | | | x| | | | | | | | x| | | |
|timeSigCutCommon| 113| x| | | | | x| | | | | | | | x| | | |
|timeSignatureComponent| 443| x| | | | | x| | | | | | | | x| | | |
|tupletBracket| 4970| x| | | | | x| | | | | | | | | | | |
|tupletText| 4900| x| | | | | x| | | | | | | | | | | x|
|unpitchedPercussionClef1| 223| x| x| x| x| x| x| | | | | | | | | | | |
|wiggleTrill| 45| x| | | | | x| | | | | | | | | | | |
